,player,Disparos_totales,Goles,Paradas_portero,xG,Disparos_puerta,Disparos_fuera,Penaltis_lanzados,Disparos_Faltas_lanzadas,%_Disparos_a_puerta,Pases_totales,Pases_completados,Pases_incompletos,Pases_faltas_lanzadas,Corner,Asistencias,Centros,Pases_completados_ultimo_tercio,Pases_incompletos_ultimo_tercio,%Efectividad_pase,%Efectividad_pase_ultimo_tercio,Tarjetas Amarillas,Balones Recuperados,Bloqueos,Conducciones,Despejes,Duelos_totales,Duelos_ganados,Duelos_perdidos,%Duelos_ganados_,Faltas_recibidas,Faltas_realizadas,Intercepciones_totales,Intercepciones_ganadas,Intercepciones_perdidas,%Intercepciones_ganadas_,Mal_control,Perdidas,Regates_totales,Regates_exitosos,Regates_fallidos,%Regates_exitosos,Goles_recibidos_juego,Goles_recibidos_penalti,Despeje_puños,Paradas_portero_juego,Paradas_portero_penalti,Salidas_portero_balon,Goles_totales_recibidos,Paradas_totales,%Paradas,player_id,team,position
0,Aaron Ramsey,7.0,1.0,2.0,1.389750527,3.0,4.0,0.0,0.0,42.857142857142854,157.0,121.0,36.0,11.0,2.0,0.0,0.0,38.0,26.0,77.07006369426752,59.375,0.0,22.0,7.0,128.0,2.0,15.0,5.0,10.0,33.33333333333333,11.0,6.0,6.0,5.0,1.0,83.33333333333334,6.0,4.0,5.0,3.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3517.0,Wales,Atacante
1,Adam Hložek,1.0,0.0,0.0,0.09428183,0.0,1.0,0.0,0.0,0.0,26.0,16.0,10.0,0.0,0.0,0.0,0.0,11.0,6.0,61.53846153846154,64.70588235294117,0.0,5.0,0.0,22.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28239.0,Czech Republic,Banda_derecha
2,Admir Mehmedi,3.0,0.0,1.0,0.879872574,0.0,1.0,0.0,0.0,0.0,25.0,20.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,55.55555555555556,0.0,3.0,1.0,19.0,0.0,2.0,2.0,0.0,100.0,1.0,1.0,1.0,1.0,0.0,100.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8219.0,Switzerland,Atacante
3,Adrien Rabiot,3.0,0.0,0.0,0.19858016899999997,0.0,3.0,0.0,0.0,0.0,202.0,176.0,26.0,3.0,0.0,0.0,0.0,51.0,12.0,87.12871287128714,80.95238095238095,0.0,14.0,6.0,177.0,3.0,10.0,3.0,7.0,30.0,5.0,6.0,8.0,6.0,2.0,75.0,4.0,5.0,2.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026.0,France,Lateral_izquierdo
4,Albin Ekdal,2.0,0.0,0.0,0.068848483,0.0,2.0,0.0,0.0,0.0,136.0,119.0,17.0,4.0,0.0,0.0,0.0,23.0,9.0,87.5,71.875,0.0,16.0,9.0,100.0,7.0,13.0,5.0,8.0,38.46153846153847,6.0,8.0,5.0,4.0,1.0,80.0,1.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5624.0,Sweden,Centrocampista
5,Aleksandar Dragović,1.0,0.0,0.0,0.077197745,0.0,1.0,0.0,0.0,0.0,232.0,201.0,31.0,11.0,0.0,0.0,0.0,24.0,13.0,86.63793103448276,64.86486486486487,1.0,15.0,9.0,171.0,16.0,4.0,3.0,1.0,75.0,3.0,4.0,8.0,4.0,4.0,50.0,0.0,1.0,2.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3969.0,Austria,Defensa
6,Aleksandar Trajkovski,6.0,0.0,1.0,0.1735866637,0.0,5.0,0.0,0.0,0.0,63.0,53.0,10.0,0.0,2.0,0.0,0.0,22.0,5.0,84.12698412698413,81.48148148148148,0.0,9.0,0.0,78.0,0.0,4.0,1.0,3.0,25.0,1.0,7.0,3.0,3.0,0.0,100.0,5.0,7.0,7.0,2.0,5.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30512.0,North Macedonia,Atacante
7,Aleksandr Golovin,5.0,0.0,1.0,0.33984055,0.0,4.0,0.0,0.0,0.0,130.0,100.0,30.0,3.0,7.0,0.0,0.0,46.0,22.0,76.92307692307693,67.64705882352942,0.0,20.0,6.0,118.0,0.0,7.0,5.0,2.0,71.42857142857143,7.0,5.0,3.0,1.0,2.0,33.33333333333333,3.0,7.0,6.0,5.0,1.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5177.0,Russia,Banda_izquierda
8,Aleksey Miranchuk,2.0,1.0,0.0,0.12988881000000002,0.0,1.0,0.0,1.0,0.0,59.0,46.0,13.0,1.0,2.0,0.0,0.0,24.0,10.0,77.96610169491525,70.58823529411765,0.0,14.0,2.0,61.0,0.0,6.0,1.0,5.0,16.666666666666664,6.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,2.0,4.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6299.0,Russia,Banda_derecha
9,Alessandro Schöpf,1.0,0.0,0.0,0.035422362,0.0,1.0,0.0,0.0,0.0,44.0,38.0,6.0,0.0,0.0,0.0,0.0,15.0,2.0,86.36363636363636,88.23529411764706,0.0,4.0,1.0,46.0,1.0,1.0,1.0,0.0,100.0,1.0,1.0,1.0,1.0,0.0,100.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11281.0,Austria,Banda_derecha
10,Alex Král,1.0,0.0,0.0,0.020847216,0.0,1.0,0.0,0.0,0.0,71.0,47.0,24.0,0.0,0.0,0.0,0.0,9.0,16.0,66.19718309859155,36.0,0.0,6.0,3.0,53.0,2.0,9.0,1.0,8.0,11.11111111111111,0.0,4.0,2.0,2.0,0.0,100.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23452.0,Czech Republic,Centrocampista
11,Alexander Isak,8.0,0.0,1.0,0.65466658,0.0,7.0,0.0,0.0,0.0,69.0,51.0,18.0,0.0,0.0,2.0,2.0,35.0,14.0,73.91304347826086,71.42857142857143,0.0,8.0,5.0,84.0,2.0,17.0,1.0,16.0,5.88235294117647,1.0,4.0,3.0,3.0,0.0,100.0,10.0,9.0,15.0,12.0,3.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8819.0,Sweden,Atacante
12,Andrea Belotti,11.0,0.0,2.0,2.6072594145,0.0,7.0,0.0,1.0,0.0,33.0,22.0,11.0,0.0,0.0,0.0,0.0,3.0,7.0,66.66666666666666,30.0,0.0,9.0,2.0,41.0,2.0,11.0,2.0,9.0,18.181818181818183,12.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,5.0,3.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7471.0,Italy,Atacante
13,Andreas Christensen,3.0,1.0,1.0,0.20180946700000002,2.0,1.0,0.0,0.0,66.66666666666666,291.0,265.0,26.0,13.0,0.0,0.0,0.0,29.0,13.0,91.06529209621993,69.04761904761905,0.0,19.0,7.0,221.0,25.0,14.0,1.0,13.0,7.142857142857142,4.0,6.0,9.0,5.0,4.0,55.55555555555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3959.0,Denmark,Defensa
