player;imagen
Álvaro Borja Morata Martín;https://cdn.resfu.com/img_data/players/medium/40603.jpg?size=120x&lossy=1
Pau Francisco Torres;https://cdn.resfu.com/img_data/players/medium/289964.jpg?size=120x&lossy=1
Aymeric Laporte;https://cdn.resfu.com/img_data/players/medium/124620.jpg?size=120x&lossy=1
Jordi Alba Ramos;https://cdn.resfu.com/img_data/players/medium/28113.jpg?size=120x&lossy=1
Pablo Sarabia García;https://cdn.resfu.com/img_data/players/medium/42921.jpg?size=120x&lossy=1
Jorge Resurrección Merodio;https://cdn.resfu.com/img_data/players/medium/33661.jpg?size=120x&lossy=1
Silvan Widmer;https://cdn.resfu.com/img_data/players/medium/186708.jpg?size=120x&lossy=1
Nico Elvedi;https://cdn.resfu.com/img_data/players/medium/210782.jpg?size=120x&lossy=1
Unai Simón Mendibil;https://cdn.resfu.com/img_data/players/medium/192428.jpg?size=120x&lossy=1
Sergio Busquets i Burgos;https://cdn.resfu.com/img_data/players/medium/27059.jpg?size=120x&lossy=1
Ferrán Torres García;https://cdn.resfu.com/img_data/players/medium/342274.jpg?size=120x&lossy=1
César Azpilicueta Tanco;https://cdn.resfu.com/img_data/players/medium/27038.jpg?size=120x&lossy=1
Pedro González López;https://cdn.resfu.com/img_data/players/medium/869514.jpg?size=120x&lossy=1
Manuel Obafemi Akanji;https://cdn.resfu.com/img_data/players/medium/205348.jpg?size=120x&lossy=1
Yann Sommer;https://cdn.resfu.com/img_data/players/medium/110862.jpg?size=120x&lossy=1
Ricardo Iván Rodríguez Araya;https://cdn.resfu.com/img_data/players/medium/129539.jpg?size=120x&lossy=1
Steven Zuber;https://cdn.resfu.com/img_data/players/medium/50810.jpg?size=120x&lossy=1
Remo Freuler;https://cdn.resfu.com/img_data/players/medium/191669.jpg?size=120x&lossy=1
Denis Lemi Zakaria Lako Lado;https://cdn.resfu.com/img_data/players/medium/280412.jpg?size=120x&lossy=1
Breel-Donald Embolo;https://cdn.resfu.com/img_data/players/medium/206931.jpg?size=120x&lossy=1
Xherdan Shaqiri;https://cdn.resfu.com/img_data/players/medium/41769.jpg?size=120x&lossy=1
Haris Seferovi?;https://cdn.resfu.com/img_data/players/medium/50808.jpg?size=120x&lossy=1
Ruben Vargas;https://cdn.resfu.com/img_data/players/medium/331264.jpg?size=120x&lossy=1
Daniel Olmo Carvajal;https://cdn.resfu.com/img_data/players/medium/275868.jpg?size=120x&lossy=1
Gerard Moreno Balaguero;https://cdn.resfu.com/img_data/players/medium/107189.jpg?size=120x&lossy=1
Mario Gavranovi?;https://cdn.resfu.com/img_data/players/medium/70625.jpg?size=120x&lossy=1
Djibril Sow;https://cdn.resfu.com/img_data/players/medium/281581.jpg?size=120x&lossy=1
Christian Fassnacht;https://cdn.resfu.com/img_data/players/medium/289082.jpg?size=120x&lossy=1
Marcos Llorente Moreno;https://cdn.resfu.com/img_data/players/medium/147267.jpg?size=120x&lossy=1
Mikel Oyarzabal Ugarte;https://cdn.resfu.com/img_data/players/medium/281680.jpg?size=120x&lossy=1
Fabian Lukas Schär;https://cdn.resfu.com/img_data/players/medium/138775.jpg?size=120x&lossy=1
Kevin Mbabu;https://cdn.resfu.com/img_data/players/medium/249019.jpg?size=120x&lossy=1
Thiago Alcântara do Nascimento;https://cdn.resfu.com/img_data/players/medium/29470.jpg?size=120x&lossy=1
Rodrigo Hernández Cascante;https://cdn.resfu.com/img_data/players/medium/164286.jpg?size=120x&lossy=1
Aleksey Miranchuk;https://cdn.resfu.com/img_data/players/medium/177516.jpg?size=120x&lossy=1
Igor Diveev;https://cdn.resfu.com/img_data/players/medium/729418.jpg?size=120x&lossy=1
Daler Kuzyaev;https://cdn.resfu.com/img_data/players/medium/209462.jpg?size=120x&lossy=1
Andreas Christensen;https://cdn.resfu.com/img_data/players/medium/206423.jpg?size=120x&lossy=1
Simon Thorup Kjær;https://cdn.resfu.com/img_data/players/medium/27069.jpg?size=120x&lossy=1
Jannik Vestergaard;https://cdn.resfu.com/img_data/players/medium/101922.jpg?size=120x&lossy=1
Daniel Wass;https://cdn.resfu.com/img_data/players/medium/15030.jpg?size=120x&lossy=1
Fedor Kudryashov;https://cdn.resfu.com/img_data/players/medium/22576.jpg?size=120x&lossy=1
Kasper Schmeichel;https://cdn.resfu.com/img_data/players/medium/50.jpg?size=120x&lossy=1
Joakim Mæhle;https://cdn.resfu.com/img_data/players/medium/253466.jpg?size=120x&lossy=1
Pierre-Emile Højbjerg;https://cdn.resfu.com/img_data/players/medium/186395.jpg?size=120x&lossy=1
Yussuf Yurary Poulsen;https://cdn.resfu.com/img_data/players/medium/186173.jpg?size=120x&lossy=1
Magomed Ozdoev;https://cdn.resfu.com/img_data/players/medium/102727.jpg?size=120x&lossy=1
Roman Zobnin;https://cdn.resfu.com/img_data/players/medium/185463.jpg?size=120x&lossy=1
Georgiy Dzhikiya;https://cdn.resfu.com/img_data/players/medium/307533.jpg?size=120x&lossy=1
Aleksandr Golovin;https://cdn.resfu.com/img_data/players/medium/198188.jpg?size=120x&lossy=1
Thomas Delaney;https://cdn.resfu.com/img_data/players/medium/230518.jpg?size=120x&lossy=1
Martin Braithwaite Christensen;https://cdn.resfu.com/img_data/players/medium/66405.jpg?size=120x&lossy=1
Matvey Safonov;https://cdn.resfu.com/img_data/players/medium/319379.jpg?size=120x&lossy=1
Mikkel Damsgaard;https://cdn.resfu.com/img_data/players/medium/460093.jpg?size=120x&lossy=1
Artem Dzyuba;https://cdn.resfu.com/img_data/players/medium/22795.jpg?size=120x&lossy=1
Mário Figueira Fernandes;https://cdn.resfu.com/img_data/players/medium/48600.jpg?size=120x&lossy=1
Kasper Dolberg;https://cdn.resfu.com/img_data/players/medium/290327.jpg?size=120x&lossy=1
Jens Stryger Larsen;https://cdn.resfu.com/img_data/players/medium/148973.jpg?size=120x&lossy=1
Aleksandr Sobolev;https://cdn.resfu.com/img_data/players/medium/206027.jpg?size=120x&lossy=1
Rifat Zhemaletdinov;https://cdn.resfu.com/img_data/players/medium/198197.jpg?size=120x&lossy=1
Maksim Mukhin;https://cdn.resfu.com/img_data/players/medium/826478.jpg?size=120x&lossy=1
Vyacheslav Karavaev;https://cdn.resfu.com/img_data/players/medium/201840.jpg?size=120x&lossy=1
Christian Nørgaard;https://cdn.resfu.com/img_data/players/medium/228467.jpg?size=120x&lossy=1
Andreas Evald Cornelius;https://cdn.resfu.com/img_data/players/medium/212172.jpg?size=120x&lossy=1
Mathias Jensen;https://cdn.resfu.com/img_data/players/medium/230529.jpg?size=120x&lossy=1
Andrea Belotti;https://cdn.resfu.com/img_data/players/medium/192128.jpg?size=120x&lossy=1
Jorge Luiz Frello Filho;https://cdn.resfu.com/img_data/players/medium/143311.jpg?size=120x&lossy=1
Leonardo Bonucci;https://cdn.resfu.com/img_data/players/medium/44556.jpg?size=120x&lossy=1
Alessandro Bastoni;https://cdn.resfu.com/img_data/players/medium/319382.jpg?size=120x&lossy=1
Connor Roberts;https://cdn.resfu.com/img_data/players/medium/209881.jpg?size=120x&lossy=1
Gareth Frank Bale;https://cdn.resfu.com/img_data/players/medium/72.jpg?size=120x&lossy=1
Gianluigi Donnarumma;https://cdn.resfu.com/img_data/players/medium/251377.jpg?size=120x&lossy=1
Danny Ward;https://cdn.resfu.com/img_data/players/medium/47787.jpg?size=120x&lossy=1
Marco Verratti;https://cdn.resfu.com/img_data/players/medium/118904.jpg?size=120x&lossy=1
Emerson Palmieri dos Santos;https://cdn.resfu.com/img_data/players/medium/162504.jpg?size=120x&lossy=1
Federico Chiesa;https://cdn.resfu.com/img_data/players/medium/312553.jpg?size=120x&lossy=1
Rafael Tolói;https://cdn.resfu.com/img_data/players/medium/48522.jpg?size=120x&lossy=1
Ethan Ampadu;https://cdn.resfu.com/img_data/players/medium/319485.jpg?size=120x&lossy=1
Joseff Morrell;https://cdn.resfu.com/img_data/players/medium/312455.jpg?size=120x&lossy=1
Joe Rodon;https://cdn.resfu.com/img_data/players/medium/311722.jpg?size=120x&lossy=1
Neco Williams;https://cdn.resfu.com/img_data/players/medium/428241.jpg?size=120x&lossy=1
Joe Allen;https://cdn.resfu.com/img_data/players/medium/44160.jpg?size=120x&lossy=1
Chris Gunter;https://cdn.resfu.com/img_data/players/medium/141.jpg?size=120x&lossy=1
Matteo Pessina;https://cdn.resfu.com/img_data/players/medium/206289.jpg?size=120x&lossy=1
Federico Bernardeschi;https://cdn.resfu.com/img_data/players/medium/201263.jpg?size=120x&lossy=1
Aaron Ramsey;https://cdn.resfu.com/img_data/players/medium/13124.jpg?size=120x&lossy=1
Daniel James;https://cdn.resfu.com/img_data/players/medium/284983.jpg?size=120x&lossy=1
Francesco Acerbi;https://cdn.resfu.com/img_data/players/medium/83656.jpg?size=120x&lossy=1
Kieffer Roberto Francisco Moore;https://cdn.resfu.com/img_data/players/medium/186805.jpg?size=120x&lossy=1
Bryan Cristante;https://cdn.resfu.com/img_data/players/medium/125293.jpg?size=120x&lossy=1
Giacomo Raspadori;https://cdn.resfu.com/img_data/players/medium/347701.jpg?size=120x&lossy=1
Harry Wilson;https://cdn.resfu.com/img_data/players/medium/235147.jpg?size=120x&lossy=1
Salvatore Sirigu;https://cdn.resfu.com/img_data/players/medium/44832.jpg?size=120x&lossy=1
Gaetano Castrovilli;https://cdn.resfu.com/img_data/players/medium/244825.jpg?size=120x&lossy=1
Ciro Immobile;https://cdn.resfu.com/img_data/players/medium/40403.jpg?size=120x&lossy=1
Eric García Martret;https://cdn.resfu.com/img_data/players/medium/367220.jpg?size=120x&lossy=1
Giorgio Chiellini;https://cdn.resfu.com/img_data/players/medium/822.jpg?size=120x&lossy=1
Giovanni Di Lorenzo;https://cdn.resfu.com/img_data/players/medium/115904.jpg?size=120x&lossy=1
Lorenzo Insigne;https://cdn.resfu.com/img_data/players/medium/118685.jpg?size=120x&lossy=1
Nicolò Barella;https://cdn.resfu.com/img_data/players/medium/217659.jpg?size=120x&lossy=1
Domenico Berardi;https://cdn.resfu.com/img_data/players/medium/156355.jpg?size=120x&lossy=1
Manuel Locatelli;https://cdn.resfu.com/img_data/players/medium/270351.jpg?size=120x&lossy=1
Marek Hamšík;https://cdn.resfu.com/img_data/players/medium/1072.jpg?size=120x&lossy=1
Patrik Hrošovský;https://cdn.resfu.com/img_data/players/medium/184708.jpg?size=120x&lossy=1
?ubomír Šatka;https://cdn.resfu.com/img_data/players/medium/218605.jpg?size=120x&lossy=1
Peter Pekarík;https://cdn.resfu.com/img_data/players/medium/29183.jpg?size=120x&lossy=1
Milan Škriniar;https://cdn.resfu.com/img_data/players/medium/187303.jpg?size=120x&lossy=1
Tomáš Hubo?an;https://cdn.resfu.com/img_data/players/medium/22769.jpg?size=120x&lossy=1
Juraj Kucka;https://cdn.resfu.com/img_data/players/medium/73566.jpg?size=120x&lossy=1
Martin Dúbravka;https://cdn.resfu.com/img_data/players/medium/71037.jpg?size=120x&lossy=1
Martin Koscelník;https://cdn.resfu.com/img_data/players/medium/285370.jpg?size=120x&lossy=1
Robin Olsen;https://cdn.resfu.com/img_data/players/medium/152509.jpg?size=120x&lossy=1
Victor Nilsson Lindelöf;https://cdn.resfu.com/img_data/players/medium/218417.jpg?size=120x&lossy=1
Kristoffer Olsson;https://cdn.resfu.com/img_data/players/medium/138160.jpg?size=120x&lossy=1
Emil Peter Forsberg;https://cdn.resfu.com/img_data/players/medium/149864.jpg?size=120x&lossy=1
Ondrej Duda;https://cdn.resfu.com/img_data/players/medium/222173.jpg?size=120x&lossy=1
Marcus Andreas Danielsson;https://cdn.resfu.com/img_data/players/medium/276403.jpg?size=120x&lossy=1
Albin Ekdal;https://cdn.resfu.com/img_data/players/medium/24236.jpg?size=120x&lossy=1
Alexander Isak;https://cdn.resfu.com/img_data/players/medium/301340.jpg?size=120x&lossy=1
Sebastian Larsson;https://cdn.resfu.com/img_data/players/medium/384.jpg?size=120x&lossy=1
Róbert Mak;https://cdn.resfu.com/img_data/players/medium/71141.jpg?size=120x&lossy=1
Mikael Lustig;https://cdn.resfu.com/img_data/players/medium/14947.jpg?size=120x&lossy=1
Ludwig Augustinsson;https://cdn.resfu.com/img_data/players/medium/183350.jpg?size=120x&lossy=1
Marcus Berg;https://cdn.resfu.com/img_data/players/medium/38034.jpg?size=120x&lossy=1
Lukáš Haraslín;https://cdn.resfu.com/img_data/players/medium/197830.jpg?size=120x&lossy=1
Viktor Claesson;https://cdn.resfu.com/img_data/players/medium/212353.jpg?size=120x&lossy=1
Vladimír Weiss;https://cdn.resfu.com/img_data/players/medium/27881.jpg?size=120x&lossy=1
László Bénes;https://cdn.resfu.com/img_data/players/medium/244887.jpg?size=120x&lossy=1
Robin Quaison;https://cdn.resfu.com/img_data/players/medium/147608.jpg?size=120x&lossy=1
Dávid Hancko;https://cdn.resfu.com/img_data/players/medium/317125.jpg?size=120x&lossy=1
Michal ?uriš;https://cdn.resfu.com/img_data/players/medium/73553.jpg?size=120x&lossy=1
Pierre Bengtsson;https://cdn.resfu.com/img_data/players/medium/230515.jpg?size=120x&lossy=1
Emil Krafth;https://cdn.resfu.com/img_data/players/medium/147529.jpg?size=120x&lossy=1
Serge Gnabry;https://cdn.resfu.com/img_data/players/medium/159815.jpg?size=120x&lossy=1
Toni Kroos;https://cdn.resfu.com/img_data/players/medium/2100.jpg?size=120x&lossy=1
Mats Hummels;https://cdn.resfu.com/img_data/players/medium/1907.jpg?size=120x&lossy=1
Matthias Ginter;https://cdn.resfu.com/img_data/players/medium/129543.jpg?size=120x&lossy=1
